Week, Focus Area, Planned Task, Completed (Y/N), Notes
1, Python Basics, Install Python & learn variables, , 
2, Python Basics, Practice loops & conditionals, , 
3, Python Basics, Functions & exercises, , 
4, Python Basics, Lists & dictionaries, , 
5, Python Basics, File handling practice, , 
6, Python Basics, Mini-project: Parse log files, , 
7, Automation, Learn Pytest basics, , 
8, Automation, Assertions & test cases, , 
9, Automation, Explore Robot Framework, , 
10, Automation, Automate sample web app, , 
11, Automation, Mini-project: Automate login test, , 
12, Cloud, AWS/Azure fundamentals, , 
13, Cloud, Compute services (EC2/VMs), , 
14, Cloud, Storage services (S3/Blob), , 
15, Cloud, Networking basics, , 
16, Cloud, Mini-project: Deploy sample app, , 
